Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
104,,,282362.403,4824979.750,50.645,50,-5.69405335,43.54602947,50.645,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:08.0 UTC+02:00,2026-04-30 12:13:08.0 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2752.011,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
105,,,282360.725,4824984.463,50.631,20,-5.69407599,43.54607137,50.631,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:19.8 UTC+02:00,2026-04-30 12:13:19.8 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2747.064,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
106,,,282360.542,4824987.449,50.712,20,-5.69407944,43.54609817,50.712,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:24.8 UTC+02:00,2026-04-30 12:13:24.8 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2744.100,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
107,,,282358.422,4824988.787,50.824,50,-5.69410620,43.54610959,50.824,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:30.6 UTC+02:00,2026-04-30 12:13:30.6 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2742.365,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
108,,,282355.673,4824990.310,50.752,70,-5.69414080,43.54612249,50.752,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:37.4 UTC+02:00,2026-04-30 12:13:37.4 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2740.333,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
109,,,282352.729,4824990.353,50.799,80,-5.69417722,43.54612202,50.799,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:43.4 UTC+02:00,2026-04-30 12:13:43.4 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2739.710,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
110,,,282350.181,4824990.622,50.822,100,-5.69420883,43.54612370,50.822,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:48.2 UTC+02:00,2026-04-30 12:13:48.2 UTC+02:00,1,1.5,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2738.947,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
111,,,282348.816,4824991.147,50.771,100,-5.69422592,43.54612802,50.771,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:50.8 UTC+02:00,2026-04-30 12:13:50.8 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2738.168,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
112,,,282347.449,4824991.348,50.761,100,-5.69424290,43.54612943,50.761,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:53.0 UTC+02:00,2026-04-30 12:13:53.0 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2737.705,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
113,,,282344.622,4824991.746,50.799,100,-5.69427803,43.54613218,50.799,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:57.4 UTC+02:00,2026-04-30 12:13:57.4 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2736.766,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
